Plaats;Formule;Type;Straat;Straat_volledig;vvo
Eindhoven;AH XL;Filiaal;Limburglaan;Limburglaan, Eindhoven;4150
Arnhem;AH XL;Filiaal;Kronenburgpassage;Kronenburgpassage, Arnhem;4100
Tilburg;AH XL;Filiaal;Jan Heijnstraat;Jan Heijnstraat, Tilburg;4100
Delft;AH XL;Filiaal;Martinus Nijhofflaan;Martinus Nijhofflaan, Delft;4050
Leidschendam;AH XL;Filiaal;Weigelia;Weigelia, Leidschendam;4000
Muiden;AH XL;Filiaal;Pampusweg;Pampusweg, Muiden;4000
Kerkrade;AH XL;Filiaal;Roda J.C. Ring;Roda J.C. Ring, Kerkrade;4000
Venlo;AH XL;Filiaal;Nijmeegseweg;Nijmeegseweg, Venlo;3960
s-Gravenhage;AH XL;Filiaal;Elandstraat;Elandstraat, 's-Gravenhage;3800
Maastricht;AH XL;Filiaal;Scharnerweg;Scharnerweg, Maastricht;3700